project_number,project_title,project_starts,project_ends,project_description,project_category,project_sector,project_budget,project_leader,project_inst,project_addr
300042,"Global commercialization of a disruptive new technology
for Industrial Machine Learning",2019,2019,"The average factory is only operating at 65% overall equipment efficiency. Factories are wasting energy, raw material, clean water and they contribute to about 30% of the global greenhouse gas emissions. Intelecy have developed software that is disrupting the way analytics are being applied to industrial production. We now need to establish a plan for global growth, a process where we are going to take the product from Norway and into the global market. 

Intelecy has a product that offers a completely unique use of machine learning specialized for analysis and optimization of industrial production processes. The product is under development and is currently being used, tested and verified by pilot customers in Norway. There are about 10 million factories worldwide and a plan must be established for marketing, sales and delivery globally, that fits the relevant market.

The project is a feasibility study that will evaluate and target an international market. International commercialization of the product requires good preparatory work which entails market analysis and networking activities. The insight from the preparation must lead to a clear plan for marketing, sales and delivery internationally. The most central challenges in establishing the project are: 1. Access to information about markets and sales channels in different countries 2. Establish new relationships and identify partners.",Næringsliv,Næringsliv,50000,Espen Davidsen,INTELECY AS,Oslo
300078,"Intelligent, AI og skybasert plattform for organisering, samhandling, kommunikasjon, akkreditering under store arrangementer",2019,2021,"I dag arrangeres det tusenvis av ulike arrangementer, det være seg innen sport, kultur, annet frivillighetsarbeid, politikk etc. 

- Feks. under fotball VM i Russland trengte de ca 20 000 frivillige hjelpere for å kunne gjennomføre arrangementet. Disse skulle rekrutteres, koordineres, kommuniseres med etc. i dag benyttes ofte enkle verktøy som Excel eller tradisjonell programvare (som ikke lærer og forbedrer seg selv) for denne jobben. Disse systemene er ikke GDPR complient, sårbare for menneskelige feil), tar ikke optimale effektive valg, er ikke bruker vennlig, har store utfordring mht sikkherhet. 

Utvilsomt vil fremtidens systemløsninger være bygget på kunstig intelligens  (AI/KI/ML) som blant annet vil gi oss mulighetene til å se mønstre i store data mengder – og ta bedre valg. Vi som mennesker har begrensede evner til å se slike mønster (for eksempel 20 000 deltakere* 5000 punkter*30 dager vil gi data strukturer vi ikke har mulighet til å fange opp). Ved hjelp av avansert dataanalyse og ML tror vi at vi kan utvikle mer effektive prosesser, både mht tid og ressursbruk – kanskje vi ved bedre organisering kan gjennomføre arrangementet med kun 5 000 individer? dette vil redusere risiko betraktelig. Vårt system i dag har samlet store mengder data, fra tusenvis av arrangement, som kan benyttes som «læringsmiddel» for algoritmer (AI/ML moduler). Målet for prosjektet er således i utforske mulighetene for å utvikle en smartere løsning basert på AI enn det som eksisterer i dag.",Ukjent,Annet,50000,Ihab Timraz,Ingen,NA
300102,COPS: Comprehensive privacy and security for resilient CPS/IoT,2019,2023,"This medium-term time horizon research project develops advanced inference and optimization approaches to overcome challenges faced by future cyber physical systems/internet-of-things (CPS/IoT) and enable a sustainable and resilient digital society. The project addresses privacy and security related problems from a physical-layer perspective where traditional methods fail to detect security breaches and privacy invasions. The considered problems are particularly challenging due to the distributed nature of CPS/IoT, dynamic and non-stationary nature of attacks, and infrastructure constraints. The existing data security approaches ignore the additional information available at the physical layer such as sensor redundancy, control laws, and physical processes. Leveraging on the model knowledge and side information, the project adopts a secure-by-design philosophy for designing CPS and IoT with security and privacy as an inherent aspect of the functionality without solely depending on additional mechanisms at a later part of the design. Unlike the current approaches that assume security and privacy as an additional feature of the system, it is here consider to be a fundamental design constraint. This ensures that CPS and IoT function even when other security protocols fail and maintain operations under adversarial conditions. Finally, the project aims to strengthen the existing liaisons between academia and industry (NTNU and SINTEF), foster international scientific and education collaboration to educate and inform a new generation of scientists and engineers in the strategic area of IoT technologies. International co-operation with world-class research universities forms an important part of the project in the form of researcher exchange.",Universiteter,UoH-sektor,15998000,Stefan Werner,Institutt for elektroniske systemer,Trondheim
300122,Automated retinal diagnostics for early screening of diabetic eye disease through use of artificial intelligence,2019,2019,"Diabetic retinopathy (DR) is the most common cause of vision loss among people with diabetes and is the leading cause of preventable blindness. Within 10 years of onset, 75 percent of diabetics will have some degree of DR. However, vision loss due to diabetic retinopathy is preventable with early detection and intervention. Early detection of DR in mild and moderate stages of the disease through eye examination, can reduce the risk of blindness by 95%. If treated early, the procedures are inexpensive and uncomplicated.

The gold standard of diagnosing DR is expensive and often unavailable in remote or developing parts of the world. Oivi is developing an affordable hand-held AI-powered camera to detect preventable, vision threatening eye-diseases – with its first focus being DR. The solution is based on application of artificial intelligence to automated image capture and analysis. Our device will be so easy to use that non-trained personnel in primary care facilities can perform a retinal scan in less than 30 seconds, eliminating the need of a trained ophthalmologist at initial diagnosis and maximizing screening of diabetic patients.

The product is under development and is currently being tested and verified by pilot customers in India. The project is a feasibility study that will evaluate and target an international market. International commercialization of the product requires good preparatory work which entails market analysis and business strategy activities. The most central challenges in establishing the project are: 1. Access to information about markets and sales channels in different countries 2. Gathering the certification requirements of many different countries.",Næringsliv,Næringsliv,50000,Aarti Kapoor,OIVI AS,Oslo
300172,Safe Reinforcement Learning using Model Predictive Control,2019,2024,"AI is increasingly deployed in the industry. It is currently used for applications where decisions are not safety-critical or where human operators can vet the decisions before their deployment. Industries dealing with cyber-physical systems evolving in complex environments could substantially benefit from AI tools that can learn to improve the decisions process using data collected in the past.

High-tech companies commonly use Model Predictive Control (MPC) to deal with control and decision problems involving safety requirements, and have started using AI tools for cyber-physical systems at the Research and Development level. Reinforcement Learning (RL), a subfield of AI capable of learning to take optimal decisions for cyber-physical systems, is a very common choice. Unfortunately, deploying RL is problematic whenever safety requirements and liabilities are at stake. Industries want to understand and have safety certificates on the automated decisions driving their products, and this is difficult to obtain for existing RL methods. Hence deploying RL tools in systems involving safety requirements is currently a major difficulty. Some companies involved in Autonomous Driving use ad hoc heuristics to deal with the problem, but a genuine solution is still missing.

This project will merge theoretical results from RL with advanced, formal control methods resulting from the field of MPC to create a novel form of AI for cyber-physical systems where the decisions can be explained and certified for safety. Performing the research proposed in this project requires a unique combination of in-depth knowledge both in RL and MPC, which few groups possess. NTNU is currently in a great position to carry this research forward. The project will be integrated within the AMOS center and the Open AI Lab at NTNU, which offer unique expertize in the field of safety for autonomous systems and AI. The companies DNVGL and Kongsberg Maritime will be fully active project partners.",Universiteter,UoH-sektor,14754000,Sebastien Gros,Institutt for teknisk kybernetikk,Trondheim
300305,SciML - Scientific Computing & Machine Learning,2019,2023,"Partial differential equations (PDEs) have been studied for centuries and have seen an impressive utilization in scientific computing (SC) during the last sixty years due to increasingly powerful computers. Alongside with the utilization, a powerful theoretical foundation has been developed and this foundation ensures both efficient computations and accurate results. In the last ten years, an explosion of usage of machine learning (ML) techniques in the form of deep neural networks (DNNs) have demonstrated a wide range of successes due to both high-performance computing and vast amounts of available data. Despite the similarities between the different areas, the synergies effects have so far been sparse, in particular on the theoretical level. This proposal aims to bridge the gap between these areas. The project addresses challenges on the long-term horizon in the IKTPluss program.

There are three crucial developments in the theory of computational methods for PDEs that should be merged with DNN. The first is the development of more reliable and robust machine learning techniques by exploiting multigrid (MG) techniques developed for the solution of PDEs. The second is the integration of DNNs into a MG framework. And the third topic concerns the integration of DNNs and FEM to enable learning of computational models. These theoretical developments should be accompanied with software development and relevant applications. Here, applications in biology and medicine are of particular importance because the underlying principles are often not well understood. In particular, we will investigate a novel mechanism related to Alzheimer´s disease in which the PI is on the forefront of current research.",Øvrige forskningsinstitutter,Instituttsektor,15987000,Kent-Andre Mardal,SIMULA RESEARCH LABORATORY AS,Bærum
300392,Self-Learning and Interoperable Approaches for Oncology patients' Quality of Life Improvement via Artificial Intelligence based Monitoring,2019,2019,"PROJECT CONCEPT 
(MyData – Interoperability – Data Security – PROMs and PREMs – Quality of life)

The key to health system transformation lies in turning wellness into a system where the individual, instead of care providers, is at the core. This means encouraging individuals to adopt an active role in their own care, and giving them the needed tools to track their health and control their own wellbeing data. Empowering individuals with knowledge and control over their own health effectively engages them in their own care. In addition to giving individuals the tools to access and share their own medical data, wellbeing data produced by the individuals themselves assumes an increasing role. New technologies such as wearable devices can be used by individuals to monitor their own health and to get real-time feedback about health related issues. The detailed data captured by these technologies can also be shared with care providers to deliver better diagnosis, personalized and timely care. Moreover, technologies can be used by individuals not only to access their own wellbeing data, but also to access each other. Especially those with chronic and rare conditions benefit from technologies that facilitate peer-to-peer support networks and help supplement information obtained from care providers with peer advice and knowledge.

MyData principles for personal information

The requirements of both human-centricity and data interoperability can be addressed by MyData infrastructure and approach. MyData approaches personal data as a valuable resource and is essentially a model for managing and processing personal information with the individuals being in control of the data collected about them. At minimum this would mean the individual’s right to obtain and freely use his/her personal information. MyData architecture aims to enable the flow of personal data from multiple data sources to multiple services via a standardized, interoperable consent management framework.",Øvrige andre,Øvrige,400000,Gupta D.B.R.K. Udatha,OSLO CANCER CLUSTER SA,Oslo
300435,Emergent networks: Predicting strain localization and fracture network development,2020,2024,"Our experimental time series of fracture networks and strain fields provide unique access to coalescing fractures and localizing strain at spatiotemporal resolutions previously unavailable. This access enables quantifying the dynamics of the transition from distributed to localized deformation. The geophysical community lacks a quantitative understanding of the criteria that govern the transition from distributed to localized deformation. To address this gap, we will apply spatial clustering statistics, machine learning, and numerical modeling.

The spatial clustering results will quantify the localization process with clear, concise, and quantifiable metrics, and thereby provide a unifying framework to describe the localization process that leads to macroscopic failure. This analysis aims to determine if the clustering statistics of fracture and/or strain networks predicts the time to macroscopic failure.
The machine learning analyses will predict the volume by which a fracture grows, magnitude of strain localization, and time to macroscopic failure. These analyses aim to isolate the criteria that govern fracture propagation and coalescence, and strain localization. Determining the factors that exert the greatest impact on fault network evolution may help focus seismic hazard assessments of natural fault systems. 

The numerical modelling analyses will help determine if the conclusions gleaned from the cm-scale experimental clustering and machine learning applications apply to km-scales and seismogenic depths, and will enable visualizing the evolving stress field. Comparison of the accuracy of the machine learning predictions that do and do not use information about the stress field will quantify the importance of characterizing this parameter. This quantification could help justify the cost of field measurements of the stress field in seismically active areas, or indicate that the stress field is not critical to characterize when predicting fault interaction.",Universiteter,UoH-sektor,7583000,Jessica McBeck,NJORD,Oslo
300461,Adaptive Immunity for Software: Making Systems and Services Autonomously Self-Healing,2019,2024,"Software has become a central part of nearly all sectors of economic activity, and our daily lives have become increasingly dependent on complex software-intensive systems and services. Failures in these systems can affect thousands or even millions of people and lead to massive damages.

Despite significant investments in software verification and validation (V&V), the software industry is still plagued by failures. One reason is that conventional V&V can only target anticipated faults: it can only check that the conditions corresponding to known or expected problems do not occur. However, the complexity of modern software makes it impossible to anticipate all problems that could be encountered. 

The overall goal of this project is to devise novel methods and techniques to create self-healing software-intensive systems, i.e. systems that support autonomous detection, diagnosis, and containment of unanticipated faults during execution, thereby significantly increasing their dependability, robustness, and resilience. 

We reach this goal by building on the concept of an artificial immune system to achieve three scientific break-throughs: 
(1) Autonomic techniques that can detect unanticipated faults by distinguishing between normal behavior and anomalies in runtime observational data.
(2) Adaptive learning techniques that make it easier to recognize faults that are similar to the ones that have seen before.
(3) Cost-effective techniques to diagnose the root causes of a fault and to contain its impact, both inside and outside the system.

Timeliness: Recent advances in machine learning together with the PI's new results on automatically learning patterns in high volume data and generalizing them using rule aggregation [23 in project description] make that now is the best time to start this research. These failures need to be addressed, and the global state-of-the-art was not at the required level to start this ambitious research undertaking until just recently.",Øvrige forskningsinstitutter,Instituttsektor,15999000,Leon Moonen,SIMULA RESEARCH LABORATORY AS,Bærum
300504,Bio-inspired neural networks for AI applications,2019,2024,"There has been an enormous development in artificial intelligence (AI) recently. However, while AI supersedes human skills in some fields, the brain is still far superior in many areas - it is more energy efficient, it needs fewer examples to learn, it can learn complex tasks easier, and it can transfer knowledge from one task to another. Recent progress has come in reinforcement learning and deep learning, which in principle are inspired by neurological processes, but in practice there are large differences between the way artificial and biological neural networks work. Our hypothesis is that artificial neural networks based on the structure, dynamics and learning rules in the brain will be significantly more effective than current models. We will transfer recent knowledge from neuroscience to develop new machine learning methods that open for new scientific and technological developments. We will address (i) how representations in biological networks can improve artificial network models, transfer and unsupervised learning models, (ii) how to develop and apply effective learning rules in biologically inspired neural networks, (iii) and how spiking neural networks can define a new model for artificial networks and processing, (iv) and develop a synergetic model that incorporates these features. To address these challenges, we have organized a cross-disciplinary team of leading experts in neurophysiology, machine learning, statistical physics, and computational science. We have experience in building and supervising cross-disciplinary breakthrough research, and have a broad international network of collaborators spanning neurophysiology, psychology, computational neuroscience and AI. This puts us in an excellent position to develop biologically inspired machine learning methods for the future, and to educate the next generation of interdisciplinary researchers and technologists that will develop the next generation of AI science and applications.",Universiteter,UoH-sektor,15998000,Anders Malthe-Sørenssen,Fysisk institutt,Oslo
300509,Greater Oslo Area Train Optimization,2019,2022,"The GoTo main goal is to transfer the most recent advances in optimization and machine learning to railway traffic management. We will develop the methodological groundwork for an Optimization-based Traffic Management System (OTMS) that integrates state-of-the-art optimization algorithms and advanced forecasting techniques to tackle the complex scenarios of train dispatching that are found in Norway and the rest of Europe. Expected benefits include improved punctuality, reduced workload for dispatchers, and more efficient utilization of the existing infrastructure. The outcome of this project will be a prototype tool that will be tested in the greater Oslo area. Clearly, all developments for the greater Oslo area can be easily extended to any other railway region found in Norway. Dispatchers at the Oslo control center will be able to visualize the effects of each decision they make, up to few hours in the future. More importantly, the OTMS will automatically suggest them a set of optimized dispatching decisions based on the current train positions and preferences. All in real-time. In addition, we intend to investigate a novel methodology that exploits information gathered by the optimization algorithm of the OTMS with the purpose of identifying bottlenecks in the rail network. This will help steer future investment decisions in infrastructure enhancements.
The project will last 3 years, and it will involve three main actors: SINTEF as the project owner and research partner, Bane NOR as the industrial partner and NSB as an end-user (train operator). SINTEF will contribute with its extensive expertise and outstanding research in optimization, machine learning, and train dispatching, in particular. Bane NOR, as the responsible for operating and developing the Norwegian railway network, will provide all the necessary knowledge and support for the prototyping and validation.",Teknisk-industrielle institutter,Instituttsektor,12780000,Carlo Mannino,SINTEF DIGITAL,Trondheim
300567,Grasision: Actionable Intelligence Tool for Sustainable Grassland Production,2019,2020,"Precision agriculture has changed the way farmers manage their business, with the use of various technologies, such as drones for scouting fields and aerial imagery, and artificial intelligence and robotics. However, development of image analysis tools for classification and precise estimation of plant features is extremely challenging, especially on grassland canopies. While available tools are mostly effective on row- and horticultural crops, analyzing the highly complex vegetation environment of grass swards, including leaves overlap, is a problem yet to be solved.

Farmers require recommendations to cope with production and climate challenges, while improving sustainability and protecting the environment. Consequently, a growing demand for “actionable intelligence” is visible among grassland producers. To address this need, a new image analysis tool (i.e., solution), Grasision, is being developed at NIBIO, to estimate key indicators of sward quality status, namely plant and bare soil coverages and leaf area index -none of which is supported by existing solutions. Our tool will provide farmers with critical input to take cost-effective and responsible measures for fertilization, sward renovation and harvesting. Grasision results from devising a new image analysis and classification algorithm, using machine learning and artificial intelligence techniques, to automatically process color images acquired via on-ground platforms or drones. 

The main objective of this project is to improve the tool’s segmentation and classification accuracy, by refining the algorithm with new training data and ground-truth samples taken on new grass fields. Moreover, we will develop the software platform, and work actively to secure applicable IP rights and industrial partnerships. Additionally, this project sets the foundation for a subsequent funding application for a commercialization project, while supporting NIBIO's ongoing research on precision agriculture and forage production.",Næringsliv,Næringsliv,500000,Izaskun Muruzábal-Lecumberri,VALIDÉ AS,Stavanger
300608,Extreme windstorms and related damage,2020,2023,"Losses related to extreme winds make up over half the insurance payments related to weather and climate extremes in Norway. Planning for and mitigating these impacts requires detailed knowledge of the extreme winds and their relation to damage. The project aims to increase understanding of how windstorms and damage is related and incorporate this knowledge in a useful way for impact and adaptation purposes through the development of detailed return values for extreme winds and storm-damage functions using four decades of nationwide insurance data on municipality level.  
The project will further quantify possible changes in extreme winds due to future climate change and their uncertainty by analyzing an ensemble of regional climate models and link the results to the developed storm-damage functions.  Future changes in exposure will be addressed through national demographic scenarios and the benefit of reducing the vulnerability by assuming that building standards are strengthen to prevent losses for winds below a certain return period will be conducted.
The project will have involvement from several user communities. The most important being the Norwegian Directorate for Civil Protection (DSB)  which has the national responsibility to follow up local, regional and national preparedness and emergency planning.
End-user results and data sets will be disseminated through the National Climate Service dissemination system and the underlying data will be made accessible through the national e-infrastructure for scientific data.",Universiteter,UoH-sektor,9678000,Asgeir Sorteberg,UNIVERSITETET I BERGEN,Bergen
300653,Nordic Probabilistic AI Summer School,2019,2019,"The Nordic Probabilistic AI School (ProbAI) will serve as state-of-the-art expertise in machine learning and artificial intelligence, attracting highly qualified lecturers, as well as students, academics and professionals engaged in the AI field. 

The motivation to organise the summer school stems from a wish to strengthen competences within probabilistic AI in Norway and create an arena for knowledge exchange between students, academics and professionals. 

As the academic level will be intermediate to advanced, application are open to anyone with a solid background in AI, typically someone with a PhD-level competences in computer science, mathematics, statistics etc. As of April 3, ten days before the deadline, we already have over 240 applicants from more than 25 countries of origin. With a maximum capacity of 150 students, we will select applicants based on their qualifications as well as on certain criteria of diversity, such as affiliation, gender and geographical spread. 

Our selected lecturers are world-leading reserachers in the domain of probabilistic AI. Confirmed lecturers are, among others, Thomas Lucas (Inria Grenoble, France), Arto Klami (University of Helsinki, Finland) Andrés Masegosa (University of Almería, Spain) Thomas Dyhre Nielsen (Aalborg University, Denmark) and Antonio Salmerón (University of Almería, Spain). In addition to these lecturers joining us from abroad, NTNU professors associated with the AI Lab will also give talks on their field of expertise.  

The intentionally small team of invited lecturers will cover our carefully designed curriculum. Through a tight cooperation between our lecturers, and through theoretical lectures and hands-on tutorials, we will to provide a high quality continuous and consistent knowledge transfer.

In addition to lectures, we will organise several social and networking events during evenings. Due to a partnership with the French institute of Norway, one such event will have a French-Nordic theme.",Universiteter,UoH-sektor,100000,Herindrasana Ramampiaro,Institutt for datateknologi og informatikk,Trondheim
300740,Digital design of  antibodies,2020,2024,"Antibodies are key molecules of our immune system and fight infections with exquisite specificity. As such, antibodies are natural therapeutics. In fact, so-called monoclonal antibodies are the fastest growing class of biological drugs and have revolutionized the treatment of human diseases. However, current platforms for design and selection of monoclonal antibodies are essentially stochastic, expensive and time-consuming. Therefore, there is an urgent need for more innovative and sophisticated strategies for designing the next-generation of tailored antibodies.     
Two major desirable features of therapeutic antibodies are: (1) long plasma half-life and (2) fine-tuned target specificity. Recent data have revealed surprisingly large differences in plasma half-life of such antibodies. The reasons for this, however, remain poorly understood, but are clearly related to the antibody variable region. In addition, our preliminary data suggest that antibodies binding the same target vary widely in their sequence composition. How specificity is encoded into the antibody variable region remains equally unclear. Thus, in order to digitize antibody discovery, there is a need to gain a comprehensive understanding of how antibody variable region sequences affect antigen binding and half-life, and hence therapeutic outcome. In this transdisciplinary project, we aim to develop a digital antibody discovery platform (DigiAb) that will allow machine-learning-driven computational selection and design of antibodies with both favorable target specificity and superior plasma half-life. This will be achieved by combining state-of-the-art biochemical methodology with computational modeling of single-cell antibody sequencing datasets in an academic-industry collaboration. Our project will reveal new principles in antibody biology and machine-learning for antibody discovery, which will pave the way for rule-driven fast and effortless digital design of tailored therapeutic antibodies.",Universiteter,UoH-sektor,9976000,Victor Greiff,Institutt for klinisk medisin,Oslo
300921,Graph-based Neural Models for Dialogue Management,2020,2024,"The GraphDial project sets out to advance the state-of-the-art in dialogue management. Current approaches to dialogue management often make use of neural models trained on dialogue data using supervised or reinforcement learning. These approaches have led to enhanced performance across a broad range of tasks, but also have two important shortcomings:
(1) They rely on quite restrictive representations of the dialogue state (often based on fixed numbers of slots to fill);
(2) They are dependent on large amounts of training data to learn the model parameters.

The project will investigate an alternative approach to dialogue management based on the use of probabilistic graphs as core representation for the dialogue state. Graphs are well suited to capture rich interaction contexts including multiple entities and relations. They also facilitate the use of relational abstractions covering large portions of the state space in a compact and human-readable manner. 

Another central topic for the project is the use of weak supervision to train neural models for dialogue state tracking and action selection. Weak supervision allows machine learning models to be trained with indirect data extracted from noisy labelling functions or domain knowledge. The use of weak supervision is particularly attractive for dialogue management due to the difficulty of obtaining annotated data in most dialogue domains. The project intends to integrate a range of weak supervision signals, including user responses to grounding or clarification acts, heuristic rules and global constraints on the graph structure. 

To achieve these objectives, GraphDial will feature collaborations with leading researchers in the field of spoken dialogue systems, statistical relational learning, graph neural networks and human-robot interaction.  The project will also be in contact with two Norwegian companies involved in the development of conversational technology to facilitate the dissemination of project results.",Teknisk-industrielle institutter,Instituttsektor,7998000,Pierre Lison,NORSK REGNESENTRAL,Oslo
300955,Redesigning the Dividend Withholding Tax & Closing the Loopholes,2020,2024,"In October 2018 a cooperation between European journalists known as CORRECTIV uncovered the largest ever European tax fraud in the cum-ex files. Cum-ex, and related strategies known as cum-cum and cum-fake (henceforth cum-schemes) are schemes that allow investors to avoid paying the dividend-withholding tax (DWT), or to receive excessive tax reimbursements. The revenue loss in Europe is not yet known, but estimates suggest the damage exceeds €100 billion. Despite diligent reporting by journalists, there remain many gaps in our knowledge that can best be answered by academic economists trained in econometrics and optimal taxation. TAXLOOP will collect and analyze a financial and regulatory database for at least 17 European countries that gives an overview of the current state of DWT. We will use the data to find out which countries have been affected by the fraud and how much revenue is lost. TAXLOOP will also provide policy advice on how to design the DWT to make it more robust against tax avoidance. Finally, we will take a step back and reevaluate what role the DWT should play in the overall tax system. The tools we use in our analysis are econometrics, machine learning and optimal taxation. TAXLOOP will contribute to existing knowledge by being the first to provide a European-wide analysis of the impact of the cum-schemes, and by empirically evaluating the regulations that make a country vulnerable to them. We also provide the first optimal DWT-model that will allow policy makers to better design their DWT.",Vitenskapelige høyskoler,UoH-sektor,7678000,Floris Tobias Zoutman,Institutt for foretaksøkonomi,Bergen
300989,Multiparameter Active Antenna Sensor,2020,2023,"With the expansion of the internet-of-things (IoT) in various sectors, the number of connected devices is expected to reach 75 billion by 2025. One of the main use-cases of such devices is to sense one or more physical parameters for monitoring and/or actuation purposes. The rapid expansion and massive deployment of these devices rise the need for new design consideration to support its future sustainability in terms of hardware use and power consumption. Triggered by this, the MAAS project explores the revolutionary secondary use of the sensor node antenna for multiparameter active sensing purposes using sensitive sensing materials deployed on the antenna surface. This eliminates the conventional use of the sensor integrated circuits (ICs) and microcontrollers, and their associated power consumption. The idea is to move the complexity from the sensor node to the computation of the gateway station, where signal processing and machine learning techniques are employed to remotely sense the physical parameters. This is done by detecting changes on the radiation characteristics of the antenna sensor caused by the applied sensing materials. The idea of using the antenna as a multiparameter active sensor is an absolute novelty. If successful, it will reduce the hardware use of a standard sensor node by at least 50% (i.e. no sensor ICs, sampler and processor, and memory will be needed along with their associated power consumption), resulting in more than doubling their battery lifetime. Strategically, the project will strengthen the research-based professional educations and practices within electronics to meet the current and future needs of experts with the new knowledge and the innovation that the project brings. The ambition is to create a new generation of IoT devices that use the antenna not only for radiating electromagnetic waves, but also has a secondary functionality of actively sensing multiple physical parameters (without using sensor ICs and a microprocessor).",Universiteter,UoH-sektor,9863000,Michael Cheffena,NORGES TEKNISK-NATURVITENSKAPELIGE UNIVERSITET NTNU,Trondheim
300999,Environmentally friendly fungal disease management in protected crop production using plant genetic resources and sensor technology (END-IT),2020,2024,"The END-IT project addresses environmentally friendly production of tomato and strawberries with improved shelf life and enhanced consumer value. The project will expand the knowledge related to i) crop tolerance with wavelengths and dose ranges of optical environment effective to control a wide range of fungal diseases, ii) genes involved in induced systemic resistance that are regulated by optical radiation, and iii) the interaction between optical environment and the genes involved in antioxidant biosynthesis. Automated system will be developed, with artificial intelligence and advanced sensor technology, for timely identification of pathogen inoculum and  on-site quantification of inoculum level.   
This will collectively constitute an optical crop treatment system that ensures sustainable, environmentally friendly crop production with improved crop yield of high quality, reduced waste, reduced use of fungicides and increased profitability to society. END-IT is a multi-actor project and comprises experts with complimentary competence in the plant-fungal biology, photobiology, molecular biology, sensor technology and automation, agriculture extension, economic analysis, and trade and industry partners. This ensures smooth transfer of the research outcomes to relevant industry. This will ensure responsible research and innovation with societal interests and will benefit the society.",Universiteter,UoH-sektor,8000000,Aruppillai Suthaparan,NORGES MILJØ- OG BIOVITENSKAPELIGE UNIVERSITET (NMBU),Ås
301022,Evolving novel carbon dioxide reducing enzymes,2020,2024,"Each year, more than 350 gigatons of carbon dioxide are converted to biomass by autotrophs, sustaining life on Earth with reduced carbon compounds. The rate limiting enzyme of carbon dioxide assimilation is called RubisCO, which is remarkably slow and inefficient, wasting huge amounts of the energy harvested from the sun. COOFIX aims to design a novel enzyme that can fix carbon dioxide into the metabolic intermediate oxalate in a single step.

COOFIX employ a highly interdisciplinary approach, combining biochemistry, spectroscopy, structural biology and computational chemistry in an innovative manner to accomplish the project objectives. Binuclear organometallic copper complexes are capable of reducing carbon dioxide to oxalate with high selectivity, and this functionality will be engineered in type-3 copper protein active sites. An autotrophic model organism will be engineered to accommodate our novel carbon dioxide reductase and to convert the enzyme product oxalate to biomass.

A novel method of computer assisted enzyme engineering is proposed to efficiently improve our carbon dioxide reducing enzyme. Current computational engineering methods are limited by inefficient sampling of fluctuating protein structures along the evolutionary path. COOFIX combine hardware and software accelerated molecular dynamics simulations with machine learning to address this challenge.

COOFIX will contribute to groundbreaking discoveries in the fields of synthetic biology and enzyme engineering. It will also impact carbon dioxide feedstock utilization, providing novel opportunities to accumulate valuable organic molecules from this surplus and underexploited resource.",Universiteter,UoH-sektor,11992000,Åsmund Røhr Kjendseth,"FAKULTET FOR KJEMI, BIOTEKNOLOGI OG MATVITENSKAP",Ås
301317,Mapping of Algae and Seagrass using Spectral Imaging and Machine Learning,2020,2024,"Seagrass meadows and kelp forests are two of the most important marine habitats along the Norwegian coast. These are exposed to stressors such as eutrophication, ocean warming and ocean darkening, which all impact their distribution and health. At present, mapping of these species in Norway is done at a small number of sampling points using underwater “drop cameras”, recording coverage or state parameters of the species at points or along line transects.  There is a need for cost efficient tools to map and monitor the distribution and ecological state of blue forests over larger areas and extended time periods. Large-scale mapping based on imaging from satellites or airplanes is possible, but has several drawbacks: Satellites have limited spatial resolution and depend on cloudless days, and airplane missions are costly. We propose using unmanned aerial vehicles (UAVs) equipped with hyperspectral cameras for mapping medium-sized areas. UAVs enable flexible, low-cost imaging missions with high spatial resolution, and hyperspectral imaging will provides detailed spectral information within each pixel. The spectrum of light reflected from underwater vegetation and the seafloor can be used as a “spectral fingerprint” to estimate parameters such as plant coverage, species, biomass and physiological state. Scuba divers, drop cameras and ROVs will be used to aquire “ground truth” measurement of these parameters, and machine learning methods will be used to train mathematical models relating the hyperspectral data to the field measurements. This enables estimation of biophysical parameters for each image pixel. Through statistical analysis of the mapped spatial and temporal changes, we will identify the main drivers that cause the observed patterns. Understanding how the structure and function of these species varies across environmental gradients is essential knowledge for sustainable coastal management.",Universiteter,UoH-sektor,7995000,Martin Skjelvareid,Institutt for datateknologi og beregningsorienterte ingeniørfag,Tromsø
301718,Searching for Dark Matter with Light,2020,2024,"According to modern cosmological models only 16% of all matter in our universe corresponds to the known, visible matter. The other 84% is called dark matter (DM) and could so far only be observed indirectly. This is why its particle nature is poorly understood. Yet, DM played a crucial role during the evolution of our universe and thus the formation of life itself. Therefore, the understanding of DM is an important aim of contemporary physics and is pursued in this project.

With this research proposal, we will endeavor to uncover the particle nature of DM by analysing the first data taken with the Cherenkov Telescope Array (CTA). This observatory for gamma-ray astronomy is soon entering its construction phase and will outperform current telescopes by far. This leap in sensitivity can be the decisive factor to unravel the nature of DM. Therefore, now is the time to contribute to those efforts as this allows for enough time to prepare the recording of the data as well as their analysis. 

Project group members will engage both in the commissioning and operation of CTA and in the analysis of the first data. We will strive to improve on current analyses by refining the background estimation and by using modern machine learning algorithms. The work will be fully integrated in the Norwegian efforts to search for DM and within the CTA community. It will help the project manager to advance her career as an independent researcher and include several measures to communicate the results to the different target audiences. The proposal connects the fields of high energy physics, astroparticle physics, cosmology and computer science as we will only be ably to truly understand DM by cornering it from all angles.",Universiteter,UoH-sektor,7983000,Julia Isabell Djuvsland,Institutt for fysikk og teknologi,Bergen
